,client_id,start,step_1,step_2,step_3,confirm,Variation,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
38430,7592123,1,1,1,1,0,Control,24.0,289.0,33.0,M,2.0,33602.07,0.0,3.0
38431,7592127,1,1,1,1,1,Control,15.0,191.0,38.5,F,3.0,98600.94,1.0,4.0
38433,7592187,1,1,1,1,1,Control,21.0,253.0,26.0,M,2.0,45591.7,3.0,6.0
38436,7593096,1,1,1,1,1,Control,8.0,105.0,31.5,M,3.0,60640.48,2.0,5.0
38442,7594828,1,1,1,1,1,Control,12.0,144.0,45.0,U,2.0,137410.33000000002,3.0,6.0
38444,7595038,1,1,1,1,1,Control,5.0,71.0,59.5,U,2.0,46536.56,1.0,4.0
38445,7595101,1,1,1,1,1,Control,13.0,157.0,37.5,F,3.0,43403.64,2.0,5.0
38447,7595293,3,2,1,1,1,Control,15.0,182.0,60.0,M,2.0,181689.25,6.0,9.0
38449,7595462,1,0,0,0,0,Control,16.0,200.0,45.0,M,2.0,49880.88,1.0,4.0
38451,7595966,1,1,1,1,1,Control,20.0,250.0,50.5,F,3.0,314684.57,6.0,9.0
38452,7596048,1,1,1,1,1,Control,17.0,207.0,43.5,F,3.0,132017.28999999998,1.0,4.0
38453,7596241,1,1,1,1,1,Control,8.0,97.0,60.5,M,2.0,664073.29,3.0,6.0
38457,7596918,3,2,1,1,1,Control,13.0,166.0,39.5,U,2.0,167547.21000000002,1.0,4.0
38458,7597104,1,0,0,0,0,Control,8.0,96.0,58.0,U,2.0,70023.54000000001,0.0,3.0
38466,7598836,1,3,2,1,1,Control,6.0,78.0,30.5,U,3.0,57384.27,6.0,9.0
38470,7599775,1,1,1,1,1,Control,5.0,67.0,50.5,U,2.0,29627.86,1.0,4.0
38471,7599880,1,1,1,1,1,Control,9.0,113.0,59.5,F,2.0,77139.98,6.0,9.0
38472,7599966,1,1,0,0,0,Control,15.0,189.0,62.0,M,2.0,64153.03,6.0,9.0
38473,7600143,2,1,1,1,1,Control,17.0,206.0,25.0,U,2.0,67504.26,1.0,4.0
38474,7600180,1,1,2,1,1,Control,16.0,203.0,41.5,F,2.0,57453.29,0.0,3.0
38481,7601495,2,2,0,0,0,Control,18.0,217.0,70.0,M,2.0,666735.78,2.0,6.0
38483,7602333,3,1,1,1,0,Control,18.0,224.0,40.0,M,3.0,248515.93,4.0,7.0
38484,7602354,3,2,2,1,0,Control,5.0,71.0,55.0,U,2.0,63336.89,6.0,9.0
38485,7602445,2,1,1,1,1,Control,12.0,153.0,31.0,M,5.0,190185.54,5.0,8.0
38487,7603403,1,1,0,0,0,Control,6.0,80.0,72.0,M,2.0,64288.17,1.0,4.0
38490,7603714,3,0,0,0,0,Control,6.0,80.0,47.0,U,3.0,419185.9,6.0,9.0
